"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número Desde";"Número Hasta";"Cód. Autorización";"Tipo Doc. Receptor";"Nro. Doc. Receptor";"Denominación Receptor";"Tipo Cambio";"Moneda";"Imp. Neto Gravado IVA 0%";"IVA 2,5%";"Imp. Neto Gravado IVA 2,5%";"IVA 5%";"Imp. Neto Gravado IVA 5%";"IVA 10,5%";"Imp. Neto Gravado IVA 10,5%";"IVA 21%";"Imp. Neto Gravado IVA 21%";"IVA 27%";"Imp. Neto Gravado IVA 27%";"Imp. Neto Gravado Total";"Imp. Neto No Gravado";"Imp. Op. Exentas";"Otros Tributos";"Total IVA";"Imp. Total"
2026-06-11;1;4;971;971;86249322985194;80;30718377680;COOPERATIVA AGROINDUSTRIAL DE CUYO LIMITADA;1,00;$;;;;;;44061,32;419631,62;235324,38;1120592,29;;;1540223,91;0,00;0,00;0,00;279385,70;1819609,61
2026-06-11;6;4;391;391;86249325259091;80;30708982500;COLEGIO SAN PIO X-ARZOBISPADO DE MENDOZA;1,00;$;;;;;;;;28017,61;133417,19;;;133417,19;0,00;0,00;0,00;28017,61;161434,85
